"Addendum FF -- ASC Device Offset Percentages for CY 2025                                                                                                     
 (For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved. ,,,,,,,,
,,,,,,,,
HCPCS Code,,Short Descriptor,January 2025 Payment Indicator,January 2025 APC,January 2025 APC Device Offset Percentage,January 2025 OPPS Payment Rate,January 2025 Device Offset Percentage,January 2025 Device Offset Amount / Device Portion
0101T,,Esw muscskel sys nos,R2,5111,0.08%,$240.17,0.00%,$0.00
0102T,,Esw phy anes lat hmrl epcndl,G2,5113,4.98%,"$2,941.66",0.00%,$0.00
0200T,,Perq sacral augmt unilat inj,J8,5114,21.29%,"$6,539.97",35.62%,"$2,329.54"
0201T,,Perq sacral augmt bilat inj,G2,5114,21.29%,"$6,539.97",27.94%,$980.93
0213T,,Njx paravert w/us cer/thor,R2,5443,0.37%,$890.30,0.00%,$0.00
0214T,,Njx paravert w/us cer/thor,N1,,,,,
0215T,,Njx paravert w/us cer/thor,N1,,,,,
0216T,,Njx paravert w/us lumb/sac,R2,5443,0.37%,$890.30,0.00%,$0.00
0217T,,Njx paravert w/us lumb/sac,N1,,,,,
0218T,,Njx paravert w/us lumb/sac,N1,,,,,
0232T,,Njx platelet plasma,N1,,,,,
0238T,,Trluml perip athrc iliac art,J8,5194,58.14%,"$15,263.61",47.22%,"$7,207.48"
0253T,,Insert aqueous drain device,J8,5492,5.30%,"$3,901.30",47.46%,"$1,851.56"
0263T,,Im b1 mrw cel ther cmpl,G2,5243,0.01%,"$4,685.47",0.00%,$0.00
0264T,,Im b1 mrw cel ther xcl hrvst,G2,5243,0.01%,"$4,685.47",0.00%,$0.00
0265T,,Im b1 mrw cel ther hrvst onl,G2,5243,0.01%,"$4,685.47",64.42%,"$1,620.35"
0266T,,Implt/rpl crtd sns dev total,J8,1580,,"$45,000.50",86.60%,"$38,970.43"
0268T,,Implt/rpl crtd sns dev gen,J8,5465,83.61%,"$28,371.04",85.89%,"$24,367.89"
0269T,,Rev/remvl crtd sns dev total,G2,5432,26.99%,"$5,755.32",0.00%,$0.00
0270T,,Rev/remvl crtd sns dev lead,G2,5461,19.30%,"$3,621.88",0.00%,$0.00
0271T,,Rev/remvl crtd sns dev gen,G2,5461,19.30%,"$3,621.88",0.00%,$0.00
0274T,,Perq lamot/lam crv/thrc,G2,5114,21.29%,"$6,539.97",0.00%,$0.00
0275T,,Perq lamot/lam lumbar,J8,5114,21.29%,"$6,539.97",58.50%,"$3,825.88"
0278T,,Tempr,N1,,,,,
0308T,,Insj ocular telescope prosth,J8,5496,69.83%,"$15,583.96",41.62%,"$6,486.04"
0330T,,Tear film img uni/bi w/i&r,N1,,,,,
0335T,,Insj sinus tarsi implant,J8,5114,21.29%,"$6,539.97",67.15%,"$4,391.59"
0338T,,Trnscth renal symp denrv unl,G2,5192,29.20%,"$4,898.45",25.32%,$665.82
0339T,,Trnscth renal symp denrv bil,J8,5192,29.20%,"$4,898.45",48.96%,"$2,398.28"
0342T,,Thxp apheresis w/hdl delip,G2,5243,0.01%,"$4,685.47",0.00%,$0.00
0347T,,Ins bone device for rsa,N1,,,,,
0348T,,Rsa spine exam,N1,,,,,
0349T,,Rsa upper extr exam,N1,,,,,
0350T,,Rsa lower extr exam,N1,,,,,
0351T,,Intraop oct brst/node spec,N1,,,,,
0353T,,Intraop oct breast cavity,N1,,,,,
0379T,,Vis field assmnt tech suppt,N1,,,,,
0397T,,Ercp w/optical endomicroscpy,N1,,,,,
0402T,,Colgn crs-link crn&pachymtry,R2,5503,1.99%,"$1,911.23",0.00%,$0.00
0408T,,Insj/rplc cardiac modulj sys,J8,5232,72.06%,"$28,859.65",78.50%,"$22,654.83"
0409T,,Insj/rplc car modulj pls gn,J8,5231,68.19%,"$22,064.74",90.35%,"$19,935.49"
0410T,,Insj/rplc car modulj atr elt,J8,5222,69.83%,"$8,134.01",69.83%,"$5,679.98"
0411T,,Insj/rplc car modulj vnt elt,G2,5222,69.83%,"$8,134.01",0.00%,$0.00
0412T,,Rmvl cardiac modulj pls gen,G2,5221,21.22%,"$3,639.58",0.00%,$0.00
0413T,,Rmvl car modulj tranvns elt,G2,5221,21.22%,"$3,639.58",0.00%,$0.00
0414T,,Rmvl & rpl car modulj pls gn,J8,5231,68.19%,"$22,064.74",68.19%,"$15,045.95"
0415T,,Repos car modulj tranvns elt,G2,5181,3.32%,$619.02,0.00%,$0.00
0416T,,Reloc skin pocket pls gen,G2,5054,0.23%,"$1,827.57",16.03%,$157.27
0419T,,Dstrj neurofibroma xtnsv,R2,5053,0.06%,$611.55,0.00%,$0.00
0420T,,Dstrj neurofibroma xtnsv,R2,5053,0.06%,$611.55,0.00%,$0.00
0421T,,Waterjet prostate abltj cmpl,J8,5376,60.67%,"$8,903.60",47.93%,"$4,267.50"
0437T,,Impltj synth rnfcmt abdl wal,N1,,,,,
0439T,,Myocrd contrast prfuj echo,N1,,,,,
0440T,,Abltj perc uxtr/perph nrv,J8,5431,1.05%,"$1,722.96",72.51%,"$1,249.32"
0441T,,Abltj perc lxtr/perph nrv,J8,5431,1.05%,"$1,722.96",64.74%,"$1,115.44"
0442T,,Abltj perc plex/trncl nrv,J8,5432,26.99%,"$5,755.32",57.66%,"$3,318.52"
0443T,,R-t spctrl alys prst8 tiss,N1,,,,,
0444T,,1st plmt drug elut oc ins,N1,,,,,
0445T,,Sbsqt plmt drug elut oc ins,N1,,,,,
0446T,,Insj impltbl glucose sensor,P2,5054,0.23%,"$1,827.57",0.00%,$0.00
0447T,,Rmvl impltbl glucose sensor,P3,5051,0.01%,$198.89,0.00%,$0.00
0448T,,Remvl insj impltbl gluc sens,P2,5054,0.23%,"$1,827.57",0.00%,$0.00
0449T,,Insj aqueous drain dev 1st,J8,5493,34.99%,"$4,896.06",55.99%,"$2,741.30"
0450T,,Insj aqueous drain dev each,N1,,,,,
0479T,,Fxjl abl lsr 1st 100 sq cm,G2,5053,0.06%,$611.55,0.00%,$0.00
0480T,,Fxjl abl lsr ea addl 100sqcm,N1,,,,,
0510T,,Rmvl sinus tarsi implant,G2,5113,4.98%,"$2,941.66",49.55%,$782.47
0511T,,Rmvl&rinsj sinus tarsi implt,J8,5114,21.29%,"$6,539.97",49.01%,"$3,205.24"
0512T,,Esw integ wnd hlg 1st wnd,R2,5051,0.01%,$198.89,0.00%,$0.00
0513T,,Esw integ wnd hlg ea addl,N1,,,,,
0523T,,Ntrapx c ffr w/3d funcjl map,N1,,,,,
0524T,,Ev cath dir chem abltj w/img,J8,5183,18.94%,"$2,959.41",39.14%,"$1,158.31"
0525T,,Insj/rplcmt compl iims,J8,5224,65.24%,"$15,984.77",77.19%,"$12,338.64"
0526T,,Insj/rplcmt iims eltrd only,J8,5222,69.83%,"$8,134.01",69.83%,"$5,679.98"
0527T,,Insj/rplcmt iims implt mntr,J8,5222,69.83%,"$8,134.01",60.83%,"$4,947.92"
0530T,,Removal complete iims,G2,5221,21.22%,"$3,639.58",0.00%,$0.00
0531T,,Removal iims electrode only,G2,5221,21.22%,"$3,639.58",0.00%,$0.00
0532T,,Removal iims implt mntr only,G2,5221,21.22%,"$3,639.58",0.00%,$0.00
0581T,,Abltj mal brst tum perq crtx,J8,5091,1.41%,"$2,865.08",50.67%,"$1,451.74"
0583T,,Tmpst auto tube dlvr sys,J8,5163,1.22%,"$1,224.57",31.00%,$379.62
0587T,,Perq impltj/rplcmt isdns ptn,J8,5462,56.28%,"$6,765.39",74.16%,"$5,017.21"
0588T, *,Revision/removal isdns ptn,R2,5461,19.30%,"$3,621.88",0.00%,$0.00
